|rok  |odvetvi                                                     |typ_platu                         |prumerny_plat |mezirocni_trend|prumerny_plat_predchozi_rok|prumerna_mezirocni_zmena_platu_abs|prumerna_mezirocni_zmena_platu_procentne|
|2,013|Peněžnictví a pojišťovnictví                                |Průměrná hrubá mzda na zaměstnance|45,233.50,- Kč|Klesající      |49,706.50,- Kč             |-4,473.00,- Kč                    |-8.999 %                                |
|2,013|Profesní, vědecké a technické činnosti                      |Průměrná hrubá mzda na zaměstnance|30,274.25,- Kč|Klesající      |31,141.25,- Kč             |-867.00,- Kč                      |-2.784 %                                |
|2,013|Stavebnictví                                                |Průměrná hrubá mzda na zaměstnance|22,073.75,- Kč|Klesající      |22,571.75,- Kč             |-498.00,- Kč                      |-2.206 %                                |
|2,013|Těžba a dobývání                                            |Průměrná hrubá mzda na zaměstnance|31,685.75,- Kč|Klesající      |32,487.00,- Kč             |-801.25,- Kč                      |-2.466 %                                |
|2,013|Ubytování, stravování a pohostinství                        |Průměrná hrubá mzda na zaměstnance|13,115.00,- Kč|Rostoucí       |12,705.75,- Kč             |409.25,- Kč                       |3.221 %                                 |
|2,013|Velkoobchod a maloobchod; opravy a údržba motorových vozidel|Průměrná hrubá mzda na zaměstnance|22,203.75,- Kč|Klesající      |22,441.00,- Kč             |-237.25,- Kč                      |-1.057 %                                |
|2,013|Veřejná správa a obrana; povinné sociální zabezpečení       |Průměrná hrubá mzda na zaměstnance|26,293.50,- Kč|Rostoucí       |26,285.25,- Kč             |8.25,- Kč                         |0.031 %                                 |
|2,013|Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu |Průměrná hrubá mzda na zaměstnance|40,299.75,- Kč|Klesající      |42,107.25,- Kč             |-1,807.50,- Kč                    |-4.293 %                                |
|2,013|Vzdělávání                                                  |Průměrná hrubá mzda na zaměstnance|22,279.75,- Kč|Rostoucí       |21,912.50,- Kč             |367.25,- Kč                       |1.676 %                                 |
|2,013|Zásobování vodou; činnosti související s odpady a sanacemi  |Průměrná hrubá mzda na zaměstnance|23,184.25,- Kč|Klesající      |23,261.75,- Kč             |-77.50,- Kč                       |-0.333 %                                |
|2,013|Zdravotní a sociální péče                                   |Průměrná hrubá mzda na zaměstnance|23,652.00,- Kč|Rostoucí       |23,621.50,- Kč             |30.50,- Kč                        |0.129 %                                 |
|2,013|Zemědělství, lesnictví, rybářství                           |Průměrná hrubá mzda na zaměstnance|20,207.00,- Kč|Rostoucí       |19,537.00,- Kč             |670.00,- Kč                       |3.429 %                                 |
|2,013|Zpracovatelský průmysl                                      |Průměrná hrubá mzda na zaměstnance|24,562.25,- Kč|Rostoucí       |24,221.75,- Kč             |340.50,- Kč                       |1.406 %                                 |
|2,014|Administrativní a podpůrné činnosti                         |Průměrná hrubá mzda na zaměstnance|16,191.00,- Kč|Rostoucí       |16,026.00,- Kč             |165.00,- Kč                       |1.030 %                                 |
|2,014|Činnosti v oblasti nemovitostí                              |Průměrná hrubá mzda na zaměstnance|21,811.75,- Kč|Rostoucí       |21,094.00,- Kč             |717.75,- Kč                       |3.403 %                                 |
|2,014|Doprava a skladování                                        |Průměrná hrubá mzda na zaměstnance|23,600.00,- Kč|Rostoucí       |23,127.00,- Kč             |473.00,- Kč                       |2.045 %                                 |
|2,014|Informační a komunikační činnosti                           |Průměrná hrubá mzda na zaměstnance|46,875.00,- Kč|Rostoucí       |45,240.00,- Kč             |1,635.00,- Kč                     |3.614 %                                 |
|2,014|Kulturní, zábavní a rekreační činnosti                      |Průměrná hrubá mzda na zaměstnance|20,118.75,- Kč|Rostoucí       |19,293.00,- Kč             |825.75,- Kč                       |4.280 %                                 |
|2,014|Ostatní činnosti                                            |Průměrná hrubá mzda na zaměstnance|18,036.50,- Kč|Rostoucí       |17,901.50,- Kč             |135.00,- Kč                       |0.754 %                                 |
|2,014|Peněžnictví a pojišťovnictví                                |Průměrná hrubá mzda na zaměstnance|46,999.50,- Kč|Rostoucí       |45,233.50,- Kč             |1,766.00,- Kč                     |3.904 %                                 |
|2,014|Profesní, vědecké a technické činnosti                      |Průměrná hrubá mzda na zaměstnance|31,093.75,- Kč|Rostoucí       |30,274.25,- Kč             |819.50,- Kč                       |2.707 %                                 |
|2,014|Stavebnictví                                                |Průměrná hrubá mzda na zaměstnance|22,605.00,- Kč|Rostoucí       |22,073.75,- Kč             |531.25,- Kč                       |2.407 %                                 |
|2,014|Těžba a dobývání                                            |Průměrná hrubá mzda na zaměstnance|31,370.25,- Kč|Klesající      |31,685.75,- Kč             |-315.50,- Kč                      |-0.996 %                                |
|2,014|Ubytování, stravování a pohostinství                        |Průměrná hrubá mzda na zaměstnance|13,429.00,- Kč|Rostoucí       |13,115.00,- Kč             |314.00,- Kč                       |2.394 %                                 |
|2,014|Velkoobchod a maloobchod; opravy a údržba motorových vozidel|Průměrná hrubá mzda na zaměstnance|22,906.75,- Kč|Rostoucí       |22,203.75,- Kč             |703.00,- Kč                       |3.166 %                                 |
|2,014|Veřejná správa a obrana; povinné sociální zabezpečení       |Průměrná hrubá mzda na zaměstnance|27,104.75,- Kč|Rostoucí       |26,293.50,- Kč             |811.25,- Kč                       |3.085 %                                 |
|2,014|Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu |Průměrná hrubá mzda na zaměstnance|40,951.25,- Kč|Rostoucí       |40,299.75,- Kč             |651.50,- Kč                       |1.617 %                                 |
|2,014|Vzdělávání                                                  |Průměrná hrubá mzda na zaměstnance|22,692.50,- Kč|Rostoucí       |22,279.75,- Kč             |412.75,- Kč                       |1.853 %                                 |
|2,014|Zásobování vodou; činnosti související s odpady a sanacemi  |Průměrná hrubá mzda na zaměstnance|23,845.75,- Kč|Rostoucí       |23,184.25,- Kč             |661.50,- Kč                       |2.853 %                                 |
|2,014|Zdravotní a sociální péče                                   |Průměrná hrubá mzda na zaměstnance|24,255.75,- Kč|Rostoucí       |23,652.00,- Kč             |603.75,- Kč                       |2.553 %                                 |
|2,014|Zemědělství, lesnictví, rybářství                           |Průměrná hrubá mzda na zaměstnance|20,952.00,- Kč|Rostoucí       |20,207.00,- Kč             |745.00,- Kč                       |3.687 %                                 |
|2,014|Zpracovatelský průmysl                                      |Průměrná hrubá mzda na zaměstnance|25,308.25,- Kč|Rostoucí       |24,562.25,- Kč             |746.00,- Kč                       |3.037 %                                 |
|2,015|Administrativní a podpůrné činnosti                         |Průměrná hrubá mzda na zaměstnance|16,559.50,- Kč|Rostoucí       |16,191.00,- Kč             |368.50,- Kč                       |2.276 %                                 |
|2,015|Činnosti v oblasti nemovitostí                              |Průměrná hrubá mzda na zaměstnance|22,569.00,- Kč|Rostoucí       |21,811.75,- Kč             |757.25,- Kč                       |3.472 %                                 |
|2,015|Doprava a skladování                                        |Průměrná hrubá mzda na zaměstnance|24,369.50,- Kč|Rostoucí       |23,600.00,- Kč             |769.50,- Kč                       |3.261 %                                 |
|2,015|Informační a komunikační činnosti                           |Průměrná hrubá mzda na zaměstnance|47,833.00,- Kč|Rostoucí       |46,875.00,- Kč             |958.00,- Kč                       |2.044 %                                 |
|2,015|Kulturní, zábavní a rekreační činnosti                      |Průměrná hrubá mzda na zaměstnance|20,850.50,- Kč|Rostoucí       |20,118.75,- Kč             |731.75,- Kč                       |3.637 %                                 |
|2,015|Ostatní činnosti                                            |Průměrná hrubá mzda na zaměstnance|18,601.00,- Kč|Rostoucí       |18,036.50,- Kč             |564.50,- Kč                       |3.130 %                                 |
|2,015|Peněžnictví a pojišťovnictví                                |Průměrná hrubá mzda na zaměstnance|47,077.25,- Kč|Rostoucí       |46,999.50,- Kč             |77.75,- Kč                        |0.165 %                                 |
|2,015|Profesní, vědecké a technické činnosti                      |Průměrná hrubá mzda na zaměstnance|32,029.00,- Kč|Rostoucí       |31,093.75,- Kč             |935.25,- Kč                       |3.008 %                                 |
|2,015|Stavebnictví                                                |Průměrná hrubá mzda na zaměstnance|23,586.25,- Kč|Rostoucí       |22,605.00,- Kč             |981.25,- Kč                       |4.341 %                                 |
|2,015|Těžba a dobývání                                            |Průměrná hrubá mzda na zaměstnance|31,539.50,- Kč|Rostoucí       |31,370.25,- Kč             |169.25,- Kč                       |0.540 %                                 |
|2,015|Ubytování, stravování a pohostinství                        |Průměrná hrubá mzda na zaměstnance|14,198.00,- Kč|Rostoucí       |13,429.00,- Kč             |769.00,- Kč                       |5.726 %                                 |
|2,015|Velkoobchod a maloobchod; opravy a údržba motorových vozidel|Průměrná hrubá mzda na zaměstnance|23,912.75,- Kč|Rostoucí       |22,906.75,- Kč             |1,006.00,- Kč                     |4.392 %                                 |
|2,015|Veřejná správa a obrana; povinné sociální zabezpečení       |Průměrná hrubá mzda na zaměstnance|28,409.25,- Kč|Rostoucí       |27,104.75,- Kč             |1,304.50,- Kč                     |4.813 %                                 |
|2,015|Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu |Průměrná hrubá mzda na zaměstnance|40,514.50,- Kč|Klesající      |40,951.25,- Kč             |-436.75,- Kč                      |-1.067 %                                |
|2,015|Vzdělávání                                                  |Průměrná hrubá mzda na zaměstnance|23,102.75,- Kč|Rostoucí       |22,692.50,- Kč             |410.25,- Kč                       |1.808 %                                 |
|2,015|Zásobování vodou; činnosti související s odpady a sanacemi  |Průměrná hrubá mzda na zaměstnance|24,367.00,- Kč|Rostoucí       |23,845.75,- Kč             |521.25,- Kč                       |2.186 %                                 |
|2,015|Zdravotní a sociální péče                                   |Průměrná hrubá mzda na zaměstnance|25,352.00,- Kč|Rostoucí       |24,255.75,- Kč             |1,096.25,- Kč                     |4.520 %                                 |
|2,015|Zemědělství, lesnictví, rybářství                           |Průměrná hrubá mzda na zaměstnance|21,232.25,- Kč|Rostoucí       |20,952.00,- Kč             |280.25,- Kč                       |1.338 %                                 |
|2,015|Zpracovatelský průmysl                                      |Průměrná hrubá mzda na zaměstnance|26,131.75,- Kč|Rostoucí       |25,308.25,- Kč             |823.50,- Kč                       |3.254 %                                 |
|2,016|Administrativní a podpůrné činnosti                         |Průměrná hrubá mzda na zaměstnance|17,537.00,- Kč|Rostoucí       |16,559.50,- Kč             |977.50,- Kč                       |5.903 %                                 |
|2,016|Činnosti v oblasti nemovitostí                              |Průměrná hrubá mzda na zaměstnance|23,635.50,- Kč|Rostoucí       |22,569.00,- Kč             |1,066.50,- Kč                     |4.726 %                                 |
|2,016|Doprava a skladování                                        |Průměrná hrubá mzda na zaměstnance|25,505.75,- Kč|Rostoucí       |24,369.50,- Kč             |1,136.25,- Kč                     |4.663 %                                 |
|2,016|Informační a komunikační činnosti                           |Průměrná hrubá mzda na zaměstnance|49,160.75,- Kč|Rostoucí       |47,833.00,- Kč             |1,327.75,- Kč                     |2.776 %                                 |
|2,016|Kulturní, zábavní a rekreační činnosti                      |Průměrná hrubá mzda na zaměstnance|22,202.00,- Kč|Rostoucí       |20,850.50,- Kč             |1,351.50,- Kč                     |6.482 %                                 |
|2,016|Ostatní činnosti                                            |Průměrná hrubá mzda na zaměstnance|19,149.75,- Kč|Rostoucí       |18,601.00,- Kč             |548.75,- Kč                       |2.950 %                                 |
|2,016|Peněžnictví a pojišťovnictví                                |Průměrná hrubá mzda na zaměstnance|48,683.00,- Kč|Rostoucí       |47,077.25,- Kč             |1,605.75,- Kč                     |3.411 %                                 |
|2,016|Profesní, vědecké a technické činnosti                      |Průměrná hrubá mzda na zaměstnance|33,141.75,- Kč|Rostoucí       |32,029.00,- Kč             |1,112.75,- Kč                     |3.474 %                                 |
|2,016|Stavebnictví                                                |Průměrná hrubá mzda na zaměstnance|24,551.25,- Kč|Rostoucí       |23,586.25,- Kč             |965.00,- Kč                       |4.091 %                                 |
|2,016|Těžba a dobývání                                            |Průměrná hrubá mzda na zaměstnance|31,348.00,- Kč|Klesající      |31,539.50,- Kč             |-191.50,- Kč                      |-0.607 %                                |
|2,016|Ubytování, stravování a pohostinství                        |Průměrná hrubá mzda na zaměstnance|15,042.25,- Kč|Rostoucí       |14,198.00,- Kč             |844.25,- Kč                       |5.946 %                                 |
|2,016|Velkoobchod a maloobchod; opravy a údržba motorových vozidel|Průměrná hrubá mzda na zaměstnance|25,070.25,- Kč|Rostoucí       |23,912.75,- Kč             |1,157.50,- Kč                     |4.841 %                                 |
|2,016|Veřejná správa a obrana; povinné sociální zabezpečení       |Průměrná hrubá mzda na zaměstnance|30,007.50,- Kč|Rostoucí       |28,409.25,- Kč             |1,598.25,- Kč                     |5.626 %                                 |
|2,016|Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu |Průměrná hrubá mzda na zaměstnance|40,955.50,- Kč|Rostoucí       |40,514.50,- Kč             |441.00,- Kč                       |1.088 %                                 |
|2,016|Vzdělávání                                                  |Průměrná hrubá mzda na zaměstnance|23,938.50,- Kč|Rostoucí       |23,102.75,- Kč             |835.75,- Kč                       |3.618 %                                 |
|2,016|Zásobování vodou; činnosti související s odpady a sanacemi  |Průměrná hrubá mzda na zaměstnance|25,007.75,- Kč|Rostoucí       |24,367.00,- Kč             |640.75,- Kč                       |2.630 %                                 |
|2,016|Zdravotní a sociální péče                                   |Průměrná hrubá mzda na zaměstnance|26,577.50,- Kč|Rostoucí       |25,352.00,- Kč             |1,225.50,- Kč                     |4.834 %                                 |
|2,016|Zemědělství, lesnictví, rybářství                           |Průměrná hrubá mzda na zaměstnance|22,240.00,- Kč|Rostoucí       |21,232.25,- Kč             |1,007.75,- Kč                     |4.746 %                                 |
|2,016|Zpracovatelský průmysl                                      |Průměrná hrubá mzda na zaměstnance|27,237.50,- Kč|Rostoucí       |26,131.75,- Kč             |1,105.75,- Kč                     |4.231 %                                 |
|2,017|Administrativní a podpůrné činnosti                         |Průměrná hrubá mzda na zaměstnance|18,861.00,- Kč|Rostoucí       |17,537.00,- Kč             |1,324.00,- Kč                     |7.550 %                                 |
|2,017|Činnosti v oblasti nemovitostí                              |Průměrná hrubá mzda na zaměstnance|25,194.75,- Kč|Rostoucí       |23,635.50,- Kč             |1,559.25,- Kč                     |6.597 %                                 |
|2,017|Doprava a skladování                                        |Průměrná hrubá mzda na zaměstnance|27,152.25,- Kč|Rostoucí       |25,505.75,- Kč             |1,646.50,- Kč                     |6.455 %                                 |
|2,017|Informační a komunikační činnosti                           |Průměrná hrubá mzda na zaměstnance|51,640.75,- Kč|Rostoucí       |49,160.75,- Kč             |2,480.00,- Kč                     |5.045 %                                 |
|2,017|Kulturní, zábavní a rekreační činnosti                      |Průměrná hrubá mzda na zaměstnance|24,199.25,- Kč|Rostoucí       |22,202.00,- Kč             |1,997.25,- Kč                     |8.996 %                                 |
|2,017|Ostatní činnosti                                            |Průměrná hrubá mzda na zaměstnance|20,017.50,- Kč|Rostoucí       |19,149.75,- Kč             |867.75,- Kč                       |4.531 %                                 |
|2,017|Peněžnictví a pojišťovnictví                                |Průměrná hrubá mzda na zaměstnance|50,524.25,- Kč|Rostoucí       |48,683.00,- Kč             |1,841.25,- Kč                     |3.782 %                                 |
|2,017|Profesní, vědecké a technické činnosti                      |Průměrná hrubá mzda na zaměstnance|35,010.75,- Kč|Rostoucí       |33,141.75,- Kč             |1,869.00,- Kč                     |5.639 %                                 |
|2,017|Stavebnictví                                                |Průměrná hrubá mzda na zaměstnance|25,703.00,- Kč|Rostoucí       |24,551.25,- Kč             |1,151.75,- Kč                     |4.691 %                                 |
|2,017|Těžba a dobývání                                            |Průměrná hrubá mzda na zaměstnance|33,462.25,- Kč|Rostoucí       |31,348.00,- Kč             |2,114.25,- Kč                     |6.744 %                                 |
|2,017|Ubytování, stravování a pohostinství                        |Průměrná hrubá mzda na zaměstnance|16,889.00,- Kč|Rostoucí       |15,042.25,- Kč             |1,846.75,- Kč                     |12.277 %                                |
|2,017|Velkoobchod a maloobchod; opravy a údržba motorových vozidel|Průměrná hrubá mzda na zaměstnance|26,957.50,- Kč|Rostoucí       |25,070.25,- Kč             |1,887.25,- Kč                     |7.528 %                                 |
|2,017|Veřejná správa a obrana; povinné sociální zabezpečení       |Průměrná hrubá mzda na zaměstnance|32,442.25,- Kč|Rostoucí       |30,007.50,- Kč             |2,434.75,- Kč                     |8.114 %                                 |
|2,017|Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu |Průměrná hrubá mzda na zaměstnance|43,218.75,- Kč|Rostoucí       |40,955.50,- Kč             |2,263.25,- Kč                     |5.526 %                                 |
|2,017|Vzdělávání                                                  |Průměrná hrubá mzda na zaměstnance|25,358.50,- Kč|Rostoucí       |23,938.50,- Kč             |1,420.00,- Kč                     |5.932 %                                 |
|2,017|Zásobování vodou; činnosti související s odpady a sanacemi  |Průměrná hrubá mzda na zaměstnance|26,575.75,- Kč|Rostoucí       |25,007.75,- Kč             |1,568.00,- Kč                     |6.270 %                                 |
|2,017|Zdravotní a sociální péče                                   |Průměrná hrubá mzda na zaměstnance|28,920.00,- Kč|Rostoucí       |26,577.50,- Kč             |2,342.50,- Kč                     |8.814 %                                 |
|2,017|Zemědělství, lesnictví, rybářství                           |Průměrná hrubá mzda na zaměstnance|23,531.25,- Kč|Rostoucí       |22,240.00,- Kč             |1,291.25,- Kč                     |5.806 %                                 |
|2,017|Zpracovatelský průmysl                                      |Průměrná hrubá mzda na zaměstnance|29,321.00,- Kč|Rostoucí       |27,237.50,- Kč             |2,083.50,- Kč                     |7.649 %                                 |
|2,018|Administrativní a podpůrné činnosti                         |Průměrná hrubá mzda na zaměstnance|20,165.50,- Kč|Rostoucí       |18,861.00,- Kč             |1,304.50,- Kč                     |6.916 %                                 |
|2,018|Činnosti v oblasti nemovitostí                              |Průměrná hrubá mzda na zaměstnance|27,059.50,- Kč|Rostoucí       |25,194.75,- Kč             |1,864.75,- Kč                     |7.401 %                                 |
|2,018|Doprava a skladování                                        |Průměrná hrubá mzda na zaměstnance|29,135.75,- Kč|Rostoucí       |27,152.25,- Kč             |1,983.50,- Kč                     |7.305 %                                 |
|2,018|Informační a komunikační činnosti                           |Průměrná hrubá mzda na zaměstnance|55,474.75,- Kč|Rostoucí       |51,640.75,- Kč             |3,834.00,- Kč                     |7.424 %                                 |
|2,018|Kulturní, zábavní a rekreační činnosti                      |Průměrná hrubá mzda na zaměstnance|26,761.75,- Kč|Rostoucí       |24,199.25,- Kč             |2,562.50,- Kč                     |10.589 %                                |
|2,018|Ostatní činnosti                                            |Průměrná hrubá mzda na zaměstnance|21,249.50,- Kč|Rostoucí       |20,017.50,- Kč             |1,232.00,- Kč                     |6.155 %                                 |
|2,018|Peněžnictví a pojišťovnictví                                |Průměrná hrubá mzda na zaměstnance|53,339.50,- Kč|Rostoucí       |50,524.25,- Kč             |2,815.25,- Kč                     |5.572 %                                 |
|2,018|Profesní, vědecké a technické činnosti                      |Průměrná hrubá mzda na zaměstnance|37,162.75,- Kč|Rostoucí       |35,010.75,- Kč             |2,152.00,- Kč                     |6.147 %                                 |
|2,018|Stavebnictví                                                |Průměrná hrubá mzda na zaměstnance|27,821.75,- Kč|Rostoucí       |25,703.00,- Kč             |2,118.75,- Kč                     |8.243 %                                 |
|2,018|Těžba a dobývání                                            |Průměrná hrubá mzda na zaměstnance|35,942.75,- Kč|Rostoucí       |33,462.25,- Kč             |2,480.50,- Kč                     |7.413 %                                 |
|2,018|Ubytování, stravování a pohostinství                        |Průměrná hrubá mzda na zaměstnance|18,270.25,- Kč|Rostoucí       |16,889.00,- Kč             |1,381.25,- Kč                     |8.178 %                                 |
|2,018|Velkoobchod a maloobchod; opravy a údržba motorových vozidel|Průměrná hrubá mzda na zaměstnance|28,833.75,- Kč|Rostoucí       |26,957.50,- Kč             |1,876.25,- Kč                     |6.960 %                                 |
|2,018|Veřejná správa a obrana; povinné sociální zabezpečení       |Průměrná hrubá mzda na zaměstnance|35,714.50,- Kč|Rostoucí       |32,442.25,- Kč             |3,272.25,- Kč                     |10.086 %                                |
|2,018|Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu |Průměrná hrubá mzda na zaměstnance|45,982.50,- Kč|Rostoucí       |43,218.75,- Kč             |2,763.75,- Kč                     |6.395 %                                 |
|2,018|Vzdělávání                                                  |Průměrná hrubá mzda na zaměstnance|28,047.50,- Kč|Rostoucí       |25,358.50,- Kč             |2,689.00,- Kč                     |10.604 %                                |
|2,018|Zásobování vodou; činnosti související s odpady a sanacemi  |Průměrná hrubá mzda na zaměstnance|28,272.00,- Kč|Rostoucí       |26,575.75,- Kč             |1,696.25,- Kč                     |6.383 %                                 |
|2,018|Zdravotní a sociální péče                                   |Průměrná hrubá mzda na zaměstnance|31,629.50,- Kč|Rostoucí       |28,920.00,- Kč             |2,709.50,- Kč                     |9.369 %                                 |
|2,018|Zemědělství, lesnictví, rybářství                           |Průměrná hrubá mzda na zaměstnance|25,115.25,- Kč|Rostoucí       |23,531.25,- Kč             |1,584.00,- Kč                     |6.731 %                                 |
|2,018|Zpracovatelský průmysl                                      |Průměrná hrubá mzda na zaměstnance|31,646.25,- Kč|Rostoucí       |29,321.00,- Kč             |2,325.25,- Kč                     |7.930 %                                 |
