|rok  |odvetvi                                                     |typ_platu                         |prumerny_plat |mezirocni_trend|prumerny_plat_predchozi_rok|prumerna_mezirocni_zmena_platu_abs|prumerna_mezirocni_zmena_platu_procentne|
|2,007|Zdravotní a sociální péče                                   |Průměrná hrubá mzda na zaměstnance|19,053.50,- Kč|Rostoucí       |17,973.50,- Kč             |1,080.00,- Kč                     |6.009 %                                 |
|2,007|Zemědělství, lesnictví, rybářství                           |Průměrná hrubá mzda na zaměstnance|15,761.25,- Kč|Rostoucí       |14,421.00,- Kč             |1,340.25,- Kč                     |9.294 %                                 |
|2,007|Zpracovatelský průmysl                                      |Průměrná hrubá mzda na zaměstnance|19,633.25,- Kč|Rostoucí       |18,276.75,- Kč             |1,356.50,- Kč                     |7.422 %                                 |
|2,008|Administrativní a podpůrné činnosti                         |Průměrná hrubá mzda na zaměstnance|14,451.25,- Kč|Rostoucí       |14,117.00,- Kč             |334.25,- Kč                       |2.368 %                                 |
|2,008|Činnosti v oblasti nemovitostí                              |Průměrná hrubá mzda na zaměstnance|19,656.25,- Kč|Rostoucí       |18,994.50,- Kč             |661.75,- Kč                       |3.484 %                                 |
|2,008|Doprava a skladování                                        |Průměrná hrubá mzda na zaměstnance|22,008.00,- Kč|Rostoucí       |20,394.00,- Kč             |1,614.00,- Kč                     |7.914 %                                 |
|2,008|Informační a komunikační činnosti                           |Průměrná hrubá mzda na zaměstnance|40,861.50,- Kč|Rostoucí       |37,204.00,- Kč             |3,657.50,- Kč                     |9.831 %                                 |
|2,008|Kulturní, zábavní a rekreační činnosti                      |Průměrná hrubá mzda na zaměstnance|17,384.25,- Kč|Rostoucí       |16,473.00,- Kč             |911.25,- Kč                       |5.532 %                                 |
|2,008|Ostatní činnosti                                            |Průměrná hrubá mzda na zaměstnance|16,491.25,- Kč|Rostoucí       |15,929.25,- Kč             |562.00,- Kč                       |3.528 %                                 |
|2,008|Peněžnictví a pojišťovnictví                                |Průměrná hrubá mzda na zaměstnance|43,974.75,- Kč|Rostoucí       |40,725.25,- Kč             |3,249.50,- Kč                     |7.979 %                                 |
|2,008|Profesní, vědecké a technické činnosti                      |Průměrná hrubá mzda na zaměstnance|28,658.50,- Kč|Rostoucí       |25,317.00,- Kč             |3,341.50,- Kč                     |13.199 %                                |
|2,008|Stavebnictví                                                |Průměrná hrubá mzda na zaměstnance|20,692.50,- Kč|Rostoucí       |18,831.25,- Kč             |1,861.25,- Kč                     |9.884 %                                 |
|2,008|Těžba a dobývání                                            |Průměrná hrubá mzda na zaměstnance|29,236.00,- Kč|Rostoucí       |25,675.75,- Kč             |3,560.25,- Kč                     |13.866 %                                |
|2,008|Ubytování, stravování a pohostinství                        |Průměrná hrubá mzda na zaměstnance|11,937.50,- Kč|Rostoucí       |11,738.50,- Kč             |199.00,- Kč                       |1.695 %                                 |
|2,008|Velkoobchod a maloobchod; opravy a údržba motorových vozidel|Průměrná hrubá mzda na zaměstnance|20,597.25,- Kč|Rostoucí       |19,037.50,- Kč             |1,559.75,- Kč                     |8.193 %                                 |
|2,008|Veřejná správa a obrana; povinné sociální zabezpečení       |Průměrná hrubá mzda na zaměstnance|25,759.00,- Kč|Rostoucí       |24,590.25,- Kč             |1,168.75,- Kč                     |4.753 %                                 |
|2,008|Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu |Průměrná hrubá mzda na zaměstnance|34,779.75,- Kč|Rostoucí       |30,679.25,- Kč             |4,100.50,- Kč                     |13.366 %                                |
|2,008|Vzdělávání                                                  |Průměrná hrubá mzda na zaměstnance|20,097.50,- Kč|Rostoucí       |19,321.00,- Kč             |776.50,- Kč                       |4.019 %                                 |
|2,008|Zásobování vodou; činnosti související s odpady a sanacemi  |Průměrná hrubá mzda na zaměstnance|20,985.25,- Kč|Rostoucí       |19,292.00,- Kč             |1,693.25,- Kč                     |8.777 %                                 |
|2,008|Zdravotní a sociální péče                                   |Průměrná hrubá mzda na zaměstnance|20,036.75,- Kč|Rostoucí       |19,053.50,- Kč             |983.25,- Kč                       |5.160 %                                 |
|2,008|Zemědělství, lesnictví, rybářství                           |Průměrná hrubá mzda na zaměstnance|17,292.50,- Kč|Rostoucí       |15,761.25,- Kč             |1,531.25,- Kč                     |9.715 %                                 |
|2,008|Zpracovatelský průmysl                                      |Průměrná hrubá mzda na zaměstnance|21,128.50,- Kč|Rostoucí       |19,633.25,- Kč             |1,495.25,- Kč                     |7.616 %                                 |
|2,009|Administrativní a podpůrné činnosti                         |Průměrná hrubá mzda na zaměstnance|15,041.00,- Kč|Rostoucí       |14,451.25,- Kč             |589.75,- Kč                       |4.081 %                                 |
|2,009|Činnosti v oblasti nemovitostí                              |Průměrná hrubá mzda na zaměstnance|19,919.25,- Kč|Rostoucí       |19,656.25,- Kč             |263.00,- Kč                       |1.338 %                                 |
|2,009|Doprava a skladování                                        |Průměrná hrubá mzda na zaměstnance|22,688.75,- Kč|Rostoucí       |22,008.00,- Kč             |680.75,- Kč                       |3.093 %                                 |
|2,009|Informační a komunikační činnosti                           |Průměrná hrubá mzda na zaměstnance|42,237.75,- Kč|Rostoucí       |40,861.50,- Kč             |1,376.25,- Kč                     |3.368 %                                 |
|2,009|Kulturní, zábavní a rekreační činnosti                      |Průměrná hrubá mzda na zaměstnance|18,325.50,- Kč|Rostoucí       |17,384.25,- Kč             |941.25,- Kč                       |5.414 %                                 |
|2,009|Ostatní činnosti                                            |Průměrná hrubá mzda na zaměstnance|16,781.75,- Kč|Rostoucí       |16,491.25,- Kč             |290.50,- Kč                       |1.762 %                                 |
|2,009|Peněžnictví a pojišťovnictví                                |Průměrná hrubá mzda na zaměstnance|44,708.50,- Kč|Rostoucí       |43,974.75,- Kč             |733.75,- Kč                       |1.669 %                                 |
|2,009|Profesní, vědecké a technické činnosti                      |Průměrná hrubá mzda na zaměstnance|30,284.00,- Kč|Rostoucí       |28,658.50,- Kč             |1,625.50,- Kč                     |5.672 %                                 |
|2,009|Stavebnictví                                                |Průměrná hrubá mzda na zaměstnance|21,813.00,- Kč|Rostoucí       |20,692.50,- Kč             |1,120.50,- Kč                     |5.415 %                                 |
|2,009|Těžba a dobývání                                            |Průměrná hrubá mzda na zaměstnance|27,960.50,- Kč|Klesající      |29,236.00,- Kč             |-1,275.50,- Kč                    |-4.363 %                                |
|2,009|Ubytování, stravování a pohostinství                        |Průměrná hrubá mzda na zaměstnance|11,782.75,- Kč|Klesající      |11,937.50,- Kč             |-154.75,- Kč                      |-1.296 %                                |
|2,009|Velkoobchod a maloobchod; opravy a údržba motorových vozidel|Průměrná hrubá mzda na zaměstnance|20,577.00,- Kč|Klesající      |20,597.25,- Kč             |-20.25,- Kč                       |-0.098 %                                |
