|rok  |kod|nazev                                                       |datovy_typ                        |prumerna_hodnota|jednotka|
|2,008|   |Zásobování vodou; činnosti související s odpady a sanacemi  |Průměrná hrubá mzda na zaměstnance|20,985.25       |Kč      |
|2,008|   |Zdravotní a sociální péče                                   |Průměrná hrubá mzda na zaměstnance|20,036.75       |Kč      |
|2,008|   |Zemědělství, lesnictví, rybářství                           |Průměrná hrubá mzda na zaměstnance|17,292.5        |Kč      |
|2,008|   |Zpracovatelský průmysl                                      |Průměrná hrubá mzda na zaměstnance|21,128.5        |Kč      |
|2,009|   |Administrativní a podpůrné činnosti                         |Průměrná hrubá mzda na zaměstnance|15,041          |Kč      |
|2,009|   |Činnosti v oblasti nemovitostí                              |Průměrná hrubá mzda na zaměstnance|19,919.25       |Kč      |
|2,009|   |Doprava a skladování                                        |Průměrná hrubá mzda na zaměstnance|22,688.75       |Kč      |
|2,009|   |Informační a komunikační činnosti                           |Průměrná hrubá mzda na zaměstnance|42,237.75       |Kč      |
|2,009|   |Kulturní, zábavní a rekreační činnosti                      |Průměrná hrubá mzda na zaměstnance|18,325.5        |Kč      |
|2,009|   |Ostatní činnosti                                            |Průměrná hrubá mzda na zaměstnance|16,781.75       |Kč      |
|2,009|   |Peněžnictví a pojišťovnictví                                |Průměrná hrubá mzda na zaměstnance|44,708.5        |Kč      |
|2,009|   |Profesní, vědecké a technické činnosti                      |Průměrná hrubá mzda na zaměstnance|30,284          |Kč      |
|2,009|   |Stavebnictví                                                |Průměrná hrubá mzda na zaměstnance|21,813          |Kč      |
|2,009|   |Těžba a dobývání                                            |Průměrná hrubá mzda na zaměstnance|27,960.5        |Kč      |
|2,009|   |Ubytování, stravování a pohostinství                        |Průměrná hrubá mzda na zaměstnance|11,782.75       |Kč      |
|2,009|   |Velkoobchod a maloobchod; opravy a údržba motorových vozidel|Průměrná hrubá mzda na zaměstnance|20,577          |Kč      |
|2,009|   |Veřejná správa a obrana; povinné sociální zabezpečení       |Průměrná hrubá mzda na zaměstnance|26,555.25       |Kč      |
|2,009|   |Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu |Průměrná hrubá mzda na zaměstnance|38,206.75       |Kč      |
|2,009|   |Vzdělávání                                                  |Průměrná hrubá mzda na zaměstnance|21,360.75       |Kč      |
|2,009|   |Zásobování vodou; činnosti související s odpady a sanacemi  |Průměrná hrubá mzda na zaměstnance|21,637.5        |Kč      |
|2,009|   |Zdravotní a sociální péče                                   |Průměrná hrubá mzda na zaměstnance|21,627          |Kč      |
|2,009|   |Zemědělství, lesnictví, rybářství                           |Průměrná hrubá mzda na zaměstnance|17,193          |Kč      |
|2,009|   |Zpracovatelský průmysl                                      |Průměrná hrubá mzda na zaměstnance|21,825.25       |Kč      |
|2,010|   |Administrativní a podpůrné činnosti                         |Průměrná hrubá mzda na zaměstnance|15,222          |Kč      |
|2,010|   |Činnosti v oblasti nemovitostí                              |Průměrná hrubá mzda na zaměstnance|20,264.75       |Kč      |
|2,010|   |Doprava a skladování                                        |Průměrná hrubá mzda na zaměstnance|22,740.25       |Kč      |
|2,010|   |Informační a komunikační činnosti                           |Průměrná hrubá mzda na zaměstnance|42,807.25       |Kč      |
|2,010|   |Kulturní, zábavní a rekreační činnosti                      |Průměrná hrubá mzda na zaměstnance|18,610.5        |Kč      |
|2,010|   |Ostatní činnosti                                            |Průměrná hrubá mzda na zaměstnance|16,803.75       |Kč      |
|2,010|   |Peněžnictví a pojišťovnictví                                |Průměrná hrubá mzda na zaměstnance|45,339.5        |Kč      |
|2,010|   |Profesní, vědecké a technické činnosti                      |Průměrná hrubá mzda na zaměstnance|30,094.75       |Kč      |
|2,010|   |Stavebnictví                                                |Průměrná hrubá mzda na zaměstnance|21,961.75       |Kč      |
|2,010|   |Těžba a dobývání                                            |Průměrná hrubá mzda na zaměstnance|30,203.5        |Kč      |
|2,010|   |Ubytování, stravování a pohostinství                        |Průměrná hrubá mzda na zaměstnance|12,644.5        |Kč      |
|2,010|   |Velkoobchod a maloobchod; opravy a údržba motorových vozidel|Průměrná hrubá mzda na zaměstnance|21,210.5        |Kč      |
|2,010|   |Veřejná správa a obrana; povinné sociální zabezpečení       |Průměrná hrubá mzda na zaměstnance|26,470.5        |Kč      |
|2,010|   |Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu |Průměrná hrubá mzda na zaměstnance|38,840          |Kč      |
|2,010|   |Vzdělávání                                                  |Průměrná hrubá mzda na zaměstnance|20,928          |Kč      |
|2,010|   |Zásobování vodou; činnosti související s odpady a sanacemi  |Průměrná hrubá mzda na zaměstnance|22,594          |Kč      |
|2,010|   |Zdravotní a sociální péče                                   |Průměrná hrubá mzda na zaměstnance|22,286.25       |Kč      |
|2,010|   |Zemědělství, lesnictví, rybářství                           |Průměrná hrubá mzda na zaměstnance|18,019.5        |Kč      |
|2,010|   |Zpracovatelský průmysl                                      |Průměrná hrubá mzda na zaměstnance|22,680.5        |Kč      |
|2,011|   |Administrativní a podpůrné činnosti                         |Průměrná hrubá mzda na zaměstnance|15,509.25       |Kč      |
|2,011|   |Činnosti v oblasti nemovitostí                              |Průměrná hrubá mzda na zaměstnance|21,083.5        |Kč      |
|2,011|   |Doprava a skladování                                        |Průměrná hrubá mzda na zaměstnance|22,756.25       |Kč      |
|2,011|   |Informační a komunikační činnosti                           |Průměrná hrubá mzda na zaměstnance|44,265.25       |Kč      |
|2,011|   |Kulturní, zábavní a rekreační činnosti                      |Průměrná hrubá mzda na zaměstnance|18,562          |Kč      |
|2,011|   |Ostatní činnosti                                            |Průměrná hrubá mzda na zaměstnance|17,610.75       |Kč      |
|2,011|   |Peněžnictví a pojišťovnictví                                |Průměrná hrubá mzda na zaměstnance|46,568.5        |Kč      |
|2,011|   |Profesní, vědecké a technické činnosti                      |Průměrná hrubá mzda na zaměstnance|30,475.5        |Kč      |
|2,011|   |Stavebnictví                                                |Průměrná hrubá mzda na zaměstnance|22,494.25       |Kč      |
|2,011|   |Těžba a dobývání                                            |Průměrná hrubá mzda na zaměstnance|31,445.75       |Kč      |
|2,011|   |Ubytování, stravování a pohostinství                        |Průměrná hrubá mzda na zaměstnance|12,431.25       |Kč      |
|2,011|   |Velkoobchod a maloobchod; opravy a údržba motorových vozidel|Průměrná hrubá mzda na zaměstnance|21,863.5        |Kč      |
|2,011|   |Veřejná správa a obrana; povinné sociální zabezpečení       |Průměrná hrubá mzda na zaměstnance|25,887.25       |Kč      |
|2,011|   |Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu |Průměrná hrubá mzda na zaměstnance|39,844.75       |Kč      |
|2,011|   |Vzdělávání                                                  |Průměrná hrubá mzda na zaměstnance|21,502.25       |Kč      |
|2,011|   |Zásobování vodou; činnosti související s odpady a sanacemi  |Průměrná hrubá mzda na zaměstnance|22,752.5        |Kč      |
|2,011|   |Zdravotní a sociální péče                                   |Průměrná hrubá mzda na zaměstnance|23,176.25       |Kč      |
